Time;Module;Class;Name;Value;Unit
18:13:20;hx711:031;D;HX711 Value;590674;raw
18:13:21;hx711:031;D;HX711 Value;590921;raw
18:13:22;hx711:031;D;HX711 Value;591177;raw
18:13:23;hx711:031;D;HX711 Value;591434;raw
18:13:24;hx711:031;D;HX711 Value;591661;raw
18:13:25;hx711:031;D;HX711 Value;591954;raw
18:13:26;hx711:031;D;HX711 Value;592231;raw
18:13:27;hx711:031;D;HX711 Value;592412;raw
18:13:28;hx711:031;D;HX711 Value;592691;raw
18:13:29;hx711:031;D;HX711 Value;592965;raw
18:13:30;hx711:031;D;HX711 Value;593233;raw
18:13:31;hx711:031;D;HX711 Value;593474;raw
18:13:32;hx711:031;D;HX711 Value;593674;raw
18:13:33;hx711:031;D;HX711 Value;593955;raw
18:13:34;hx711:031;D;HX711 Value;594236;raw
18:13:35;hx711:031;D;HX711 Value;594472;raw
18:13:36;hx711:031;D;HX711 Value;594781;raw
18:13:37;hx711:031;D;HX711 Value;594983;raw
18:13:38;hx711:031;D;HX711 Value;595245;raw
18:13:39;hx711:031;D;HX711 Value;595474;raw
18:13:40;hx711:031;D;HX711 Value;595755;raw
18:13:41;hx711:031;D;HX711 Value;595968;raw
18:13:42;hx711:031;D;HX711 Value;596241;raw
18:13:43;hx711:031;D;HX711 Value;596527;raw
18:13:44;hx711:031;D;HX711 Value;596761;raw
18:13:45;hx711:031;D;HX711 Value;596977;raw
18:13:46;hx711:031;D;HX711 Value;597250;raw
18:13:47;hx711:031;D;HX711 Value;597454;raw
18:13:48;hx711:031;D;HX711 Value;597717;raw
18:13:49;hx711:031;D;HX711 Value;597910;raw
18:13:50;hx711:031;D;HX711 Value;598181;raw
18:13:51;hx711:031;D;HX711 Value;598405;raw
18:13:52;hx711:031;D;HX711 Value;598670;raw
18:13:53;hx711:031;D;HX711 Value;598906;raw
18:13:54;hx711:031;D;HX711 Value;599206;raw
18:13:55;hx711:031;D;HX711 Value;599442;raw
18:13:56;hx711:031;D;HX711 Value;599654;raw
18:13:57;hx711:031;D;HX711 Value;599889;raw
18:13:58;hx711:031;D;HX711 Value;600098;raw
18:13:59;hx711:031;D;HX711 Value;600336;raw
18:14:00;hx711:031;D;HX711 Value;600565;raw
18:14:01;hx711:031;D;HX711 Value;600678;raw
18:14:02;hx711:031;D;HX711 Value;600813;raw
18:14:03;hx711:031;D;HX711 Value;600845;raw
18:14:04;hx711:031;D;HX711 Value;600921;raw
18:14:05;hx711:031;D;HX711 Value;601021;raw
18:14:06;hx711:031;D;HX711 Value;601071;raw
18:14:07;hx711:031;D;HX711 Value;601152;raw
18:14:08;hx711:031;D;HX711 Value;601233;raw
18:14:09;hx711:031;D;HX711 Value;601225;raw
18:14:10;hx711:031;D;HX711 Value;601323;raw
18:14:11;hx711:031;D;HX711 Value;601354;raw
18:14:12;hx711:031;D;HX711 Value;601461;raw
18:14:13;hx711:031;D;HX711 Value;601465;raw
18:14:14;hx711:031;D;HX711 Value;601536;raw
18:14:15;hx711:031;D;HX711 Value;601574;raw
18:14:16;hx711:031;D;HX711 Value;601665;raw
18:14:17;hx711:031;D;HX711 Value;601700;raw
18:14:18;hx711:031;D;HX711 Value;601740;raw
18:14:19;hx711:031;D;HX711 Value;601758;raw
18:14:20;hx711:031;D;HX711 Value;601823;raw
18:14:21;hx711:031;D;HX711 Value;601878;raw
18:14:22;hx711:031;D;HX711 Value;601882;raw
18:14:23;hx711:031;D;HX711 Value;601924;raw
18:14:24;hx711:031;D;HX711 Value;601975;raw
18:14:25;hx711:031;D;HX711 Value;602000;raw
18:14:26;hx711:031;D;HX711 Value;602070;raw
18:14:27;hx711:031;D;HX711 Value;602103;raw
18:14:28;hx711:031;D;HX711 Value;602111;raw
18:14:29;hx711:031;D;HX711 Value;602182;raw
18:14:30;hx711:031;D;HX711 Value;602209;raw
18:14:31;hx711:031;D;HX711 Value;602226;raw
18:14:32;hx711:031;D;HX711 Value;602255;raw
18:14:33;hx711:031;D;HX711 Value;602312;raw
18:14:34;hx711:031;D;HX711 Value;602374;raw
18:14:35;hx711:031;D;HX711 Value;602398;raw
18:14:36;hx711:031;D;HX711 Value;602427;raw
18:14:37;hx711:031;D;HX711 Value;602439;raw
18:14:38;hx711:031;D;HX711 Value;602488;raw
18:14:39;hx711:031;D;HX711 Value;602481;raw
18:14:40;hx711:031;D;HX711 Value;602580;raw
18:14:41;hx711:031;D;HX711 Value;602597;raw
18:14:42;hx711:031;D;HX711 Value;602588;raw
18:14:43;hx711:031;D;HX711 Value;602618;raw
18:14:44;hx711:031;D;HX711 Value;602672;raw
18:14:45;hx711:031;D;HX711 Value;602679;raw
18:14:46;hx711:031;D;HX711 Value;602719;raw
18:14:47;hx711:031;D;HX711 Value;602713;raw
18:14:48;hx711:031;D;HX711 Value;602738;raw
18:14:49;hx711:031;D;HX711 Value;602809;raw
18:14:50;hx711:031;D;HX711 Value;602804;raw
18:14:51;hx711:031;D;HX711 Value;602852;raw
18:14:52;hx711:031;D;HX711 Value;602852;raw
18:14:53;hx711:031;D;HX711 Value;602886;raw
18:14:54;hx711:031;D;HX711 Value;602972;raw
18:14:55;hx711:031;D;HX711 Value;602933;raw
18:14:56;hx711:031;D;HX711 Value;602937;raw
18:14:57;hx711:031;D;HX711 Value;602970;raw
18:14:58;hx711:031;D;HX711 Value;603020;raw
18:14:59;hx711:031;D;HX711 Value;603049;raw
18:15:00;hx711:031;D;HX711 Value;603041;raw
18:15:01;hx711:031;D;HX711 Value;603032;raw
18:15:02;hx711:031;D;HX711 Value;603095;raw
18:15:03;hx711:031;D;HX711 Value;603147;raw
18:15:04;hx711:031;D;HX711 Value;603144;raw
18:15:05;hx711:031;D;HX711 Value;603130;raw
18:15:06;hx711:031;D;HX711 Value;603138;raw
18:15:07;hx711:031;D;HX711 Value;603198;raw
18:15:08;hx711:031;D;HX711 Value;603225;raw
18:15:09;hx711:031;D;HX711 Value;603259;raw
18:15:10;hx711:031;D;HX711 Value;603254;raw
18:15:11;hx711:031;D;HX711 Value;603273;raw
18:15:12;hx711:031;D;HX711 Value;603270;raw
18:15:13;hx711:031;D;HX711 Value;603333;raw
18:15:14;hx711:031;D;HX711 Value;603320;raw
18:15:15;hx711:031;D;HX711 Value;603373;raw
18:15:16;hx711:031;D;HX711 Value;603377;raw
18:15:17;hx711:031;D;HX711 Value;603429;raw
18:15:18;hx711:031;D;HX711 Value;603403;raw
18:15:19;hx711:031;D;HX711 Value;603402;raw
18:15:20;hx711:031;D;HX711 Value;603456;raw
18:15:21;hx711:031;D;HX711 Value;603464;raw
18:15:22;hx711:031;D;HX711 Value;603495;raw
18:15:23;hx711:031;D;HX711 Value;603505;raw
18:15:24;hx711:031;D;HX711 Value;603484;raw
18:15:25;hx711:031;D;HX711 Value;603439;raw
18:15:26;hx711:031;D;HX711 Value;603521;raw
18:15:27;hx711:031;D;HX711 Value;603478;raw
18:15:28;hx711:031;D;HX711 Value;603560;raw
18:15:29;hx711:031;D;HX711 Value;603628;raw
18:15:30;hx711:031;D;HX711 Value;603622;raw
18:15:31;hx711:031;D;HX711 Value;603606;raw
18:15:32;hx711:031;D;HX711 Value;603584;raw
18:15:33;hx711:031;D;HX711 Value;603676;raw
18:15:34;hx711:031;D;HX711 Value;603639;raw
18:15:35;hx711:031;D;HX711 Value;603665;raw
18:15:36;hx711:031;D;HX711 Value;603697;raw
18:15:37;hx711:031;D;HX711 Value;603683;raw
18:15:38;hx711:031;D;HX711 Value;603770;raw
18:15:39;hx711:031;D;HX711 Value;603754;raw
18:15:40;hx711:031;D;HX711 Value;603762;raw
18:15:41;hx711:031;D;HX711 Value;603750;raw
18:15:42;hx711:031;D;HX711 Value;603802;raw
18:15:43;hx711:031;D;HX711 Value;603801;raw
18:15:44;hx711:031;D;HX711 Value;603776;raw
18:15:45;hx711:031;D;HX711 Value;603804;raw
18:15:46;hx711:031;D;HX711 Value;603822;raw
18:15:47;hx711:031;D;HX711 Value;603873;raw
18:15:48;hx711:031;D;HX711 Value;603872;raw
18:15:49;hx711:031;D;HX711 Value;603885;raw
18:15:50;hx711:031;D;HX711 Value;603900;raw
18:15:51;hx711:031;D;HX711 Value;603890;raw
18:15:52;hx711:031;D;HX711 Value;603892;raw
18:15:53;hx711:031;D;HX711 Value;603884;raw
18:15:54;hx711:031;D;HX711 Value;603896;raw
18:15:55;hx711:031;D;HX711 Value;603925;raw
18:15:56;hx711:031;D;HX711 Value;603947;raw
18:15:57;hx711:031;D;HX711 Value;603972;raw
18:15:58;hx711:031;D;HX711 Value;603939;raw
18:15:59;hx711:031;D;HX711 Value;603967;raw
